External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Category,Parameters,Usage,Examples,Type,"Subcategory (for search, ex. Overall Blog Layout)"
4037151,module_affiliateprogram,"<p>Displays stats for an affiliate in an Affiliate Program</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Affiliate Program,,<code>&#123;module_affiliateprogram&#125;</code>,,Module,
4037380,module_catalogue,"<p>Displays an individual catalogue on a web page. Recommended use is to link directly to an individual catalogue rather than use the catalogue module using the link manager.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Catalogue,"<ul class=""unstyled"">
	<li><strong>catID</strong> - system generated catalogue id (do not change)</li>
	<li><strong>targetFrame</strong> - Specify the frame you want the item to open in</li>
</ul>","<code>&#123;module_catalogue,catID,targetFrame&#125;</code>","<code>&#123;module_catalogue,591,_blank&#125;</code>",Module,
4037381,module_cataloguebreadcrumbs,"<p>Displays the breadcrumbs for Catalogues according to the catalogue tree which can have multiple levels</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Catalogue,,<code>{module_cataloguebreadcrumbs}</code>,,Module,
4037382,module_contentholder,"<p>Displays the individual Content Holder</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Content Holder,"<ul class=""unstyled"">
	<li><strong>ID</strong> - system generated (do not change)</li>
</ul>","<code>&#123;module_contentholder,ID&#125;</code>","<code>&#123;module_contentholder,99823&#125;</code>",Module,
4037152,tag_actiontotal,"<p>Displays total number of actions.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Affiliate Program,"<ul class=""unstyled"">
	<li>
		<strong>actionTypeId</strong> - values are:
		<ul>
			<li><strong>2</strong> - WebForm (Inquiries)</li>
			<li><strong>3</strong> - Purchase</li>
			<li><strong>4</strong> - Quote</li>
			<li><strong>5</strong> - Secure Zone Login</li>
			<li><strong>6</strong> - Email List Subscribe</li>
			<li><strong>12</strong> - Email List Subscribe Doubt Opt In</li>
			<li><strong>10</strong> - Email List Unsubscribe</li>
			<li><strong>7</strong> - eProduct Download</li>
			<li><strong>8</strong> - Refer A Friend</li>
			<li><strong>9</strong> - Booking Form</li>
			<li><strong>11</strong> - Campaign Open</li>
			<li><strong>13</strong> - Campaign Link Click</li>
			<li><strong>14</strong> - Forum New Topic</li>
			<li><strong>15</strong> - Forum New Post</li>
		</ul>
	</li>
	<li><strong>days</strong> - Over last X number of days</li>
</ul>","<code>{tag_actiontotal,actionTypeId,days}</code>","Secure Zone Logins over last 7 days:<br />
<code>{tag_actiontotal,5,7}</code>",Tags,
4037155,tag_addtofavorites,"<p>Add announcement to favorites list.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Announcements,"<ul class=""unstyled"">
	<li><strong>addtoImage</strong> - Custom image for adding</li>
	<li><strong>removefromImage</strong> - Custom image for removing</li>
</ul>","<code>{tag_addtofavorites,addtoImage,removefromImage}</code>","Default add and remove:<br />
<code>{tag_addtofavorites}</code>
<br /><br />
Custom add and remove images:<br />
<code>{tag_addtofavorites,'/img/customAdd.gif','/img/customRemove.gif'}</code>",Tags,
4037153,tag_affiliatelink,"<p>The link for this affiliate to use on his/her website or forward to friends for tracking purposes.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Affiliate Program,,<code>{tag_affiliatelink}</code>,,Tags,
4037154,tag_affiliateprogram,"<p>Creates the relevant affiliate referral link for the receiving entity.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Affiliate Program,"<ul class=""unstyled"">
	<li><strong>affiliate_program_id</strong> - id of the affiliate program</li>
</ul>","<code>{tag_affiliateprogram,affiliate_program_id}</code>","<code>{tag_affiliateprogram,1752}</code>",Tags,
4037384,tag_blogcalendar,"<p>Calendar to retrieve blog posts by date</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Blogs,,<code>{tag_blogcalendar}</code>,,Tags,Overall Blog Layout
4037385,tag_blogcategorylist,"<p>	List of top used categories. Default is top 10 entries. You can customize to display more or less.</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Blogs,,<code>{tag_blogcategorylist}</code>,,Tags,Overall Blog Layout
4037795,tag_blogpostauthor,"<p>Author of post</p>
",21-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,Blogs,,<code>{tag_blogpostauthor}</code>,,Tags,"Blog Post List, Blog Post Detail"
4037383,tag_emailaddress,"<p>Email address of the recipient (email address must be present on form)</p>
",20-Feb-2013,01-Jan-9999,, -1,Y, -1,,,,,,,,AutoResponders,,{tag_emailaddress},,Tags,
