External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Photo,Author,Summary,Download
4288904,BackupBC,"<p class=""lead"">Finally, the Business Catalyst backup solution that lets you sleep better at night.</p>
<p>BackupBC is the ONLY backup solution built right inside the Business Catalyst admin console.
It&rsquo;s so easy, you&rsquo;ll be counting sheep in no time.</p>
",30-Jan-2014,01-Jan-9999,,0,Y, -1,,,,,,,,/images/business-catalyst-apps/thumb-1.png,Karim Ardalan and Joe Wellborn,We developed the first Backup app for Business Catalyst utilizing the new Open BC platform. The app allows clients and partners to easily make a backup of their BC sites and sleep better at night knowing their data is safely backed up.,https://www.bcappstore.com/account/signin?ReturnUrl=/apps/backupbc
6359197,Featured Listings,"<p>
    <p>This custom developed app allows any clients using our <a href=""/business-catalyst-apps/idx-feed"">IDX Feed App</a> to easily select which listings
        they would like to feature on their home page.</p>
</p>",20-Jun-2016,01-Jan-9999,,0,Y, -1,,,,,,,,/images/business-catalyst-apps/featured-listings-app.png,Karim Ardalan,This custom developed app allows any clients using our IDX Feed App to easily select which listings they would like to feature on their home page.,http://www.realtyengine.net
6359192,IDX Feed,"<p>
    <p>We developed a Business Catalyst app that automatically downloads the listings from the MLS (IDX) and imports them as Web Apps. This then allows any
        BC developer to build a real estate website in Business Catalyst.</p>
</p>",20-Jun-2016,01-Jan-9999,,0,Y, -1,,,,,,,,/avatar-realtyengine.png,Karim Ardalan,We developed a Business Catalyst app that automatically downloads the listings from the MLS (IDX) and imports them as Web Apps. This then allows any BC developer to build a real estate website in Business Catalyst.,http://www.realtyengine.net
6359199,SendOwl Integration,"<p>&nbsp;</p>
<p>This custom developed Business Catalyst Admin App allows clients to integrate their electronic downloads with SendOwl. <a href=""https://www.sendowl.com"" target=""_blank"">SendOwl</a> is a feature-rich online platform for selling and distributing electronic items that is much easier and includes many more
    features than the built-in BC electronic downloads.</p>
<p>&nbsp;</p>",20-Jun-2016,01-Jan-9999,,0,Y, -1,,,,,,,,/images/business-catalyst-apps/sendowl-integration.png,Karim Ardalan,This custom developed Business Catalyst Admin App allows clients to integrate their electronic downloads with SendOwl. SendOwl is a feature-rich online platform for selling and distributing electronic items that is much easier and includes many more features than the built-in BC electronic downloads.,
